customer_id,name,age,segment,policy_type,premium,renewal_date,last_interaction_channel,churn_risk,engagement_score,preferred_channel,lapse_reason
CUST-00035,Jordan Khan,63,Pre-Retirees,Comprehensive Auto,1797.47,2025-11-15,Phone,0.53,0.72,Phone,Forgot to renew
CUST-00036,Kai Johnson,36,Small Business Owners,Business Guard,1706.23,2025-10-11,SMS,0.62,0.43,Email,Financial hardship
CUST-00037,Liam D'Souza,61,Pre-Retirees,Business Guard,1199.84,2025-10-09,SMS,0.53,0.82,SMS,Premium too high
CUST-00038,Kai Nakamura,45,Young Families,Home Shield,1696.51,2025-10-08,SMS,0.79,0.31,Email,Switched providers
CUST-00039,Zoe Garcia,53,Small Business Owners,Home Shield,1794.44,2025-11-26,In-App,0.52,0.39,Email,Premium too high
CUST-00040,Liam Johnson,68,Small Business Owners,Comprehensive Auto,1448.42,2025-11-13,Email,0.49,0.83,Phone,Forgot to renew
CUST-00041,Sofia Lopez,52,Mid-Life Planners,Business Guard,1217.65,2025-12-04,SMS,0.81,0.42,In-App,Switched providers
CUST-00042,Ethan Garcia,69,Pre-Retirees,Home Shield,834.19,2025-10-06,Phone,0.86,0.26,SMS,Switched providers
CUST-00043,Noah O'Neal,28,Small Business Owners,Business Guard,961.39,2025-11-03,In-App,0.45,0.36,In-App,Forgot to renew
CUST-00044,Avery Nakamura,48,Small Business Owners,Comprehensive Auto,2276.89,2025-12-24,Phone,0.74,0.87,In-App,Policy no longer needed
CUST-00045,Zoe O'Neal,55,Mid-Life Planners,LifeSecure 20,1187.05,2025-12-14,Email,0.43,0.72,In-App,Switched providers
CUST-00046,Noah Nakamura,58,Young Families,Business Guard,1522.57,2025-11-24,Email,0.17,0.53,In-App,Switched providers
CUST-00047,Emma D'Souza,44,Mid-Life Planners,Business Guard,952.72,2025-08-09,In-App,0.34,0.94,In-App,Financial hardship
CUST-00048,Ethan Patel,71,Young Families,LifeSecure 20,732.08,2025-08-17,Email,0.76,0.71,Email,Switched providers
CUST-00049,Avery Nakamura,33,Mid-Life Planners,Home Shield,1268.16,2025-09-17,Email,0.58,0.37,Phone,Financial hardship
CUST-00050,Zoe Nakamura,71,Young Families,Home Shield,2324.15,2025-09-08,Email,0.59,0.92,In-App,Forgot to renew
